Facility.ID,Jurisdiction,State,Name,Date,source,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Staff.Tested,Residents.Negative,Staff.Negative,Residents.Pending,Staff.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Staff.Active,Population.Feb20,Residents.Population,Residents.Tested,Residents.Vadmin,Staff.Population,Staff.Vadmin,Address,Zipcode,City,County,Latitude,Longitude,County.FIPS,HIFLD.ID,jurisdiction_scraper,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Capacity,BJS.ID,Source.Population.Feb20,Source.Capacity,Website,ICE.Field.Office,Notes,V1,Website.y,Web.Group,Residents.Vaccinated,Staff.Vaccinated,Community.Active
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-06-07,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2415,NA,NA,1328,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3258,1320,63
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-06-09,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2431,NA,NA,1328,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3288,1365,63
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-06-11,https://www.cdcr.ca.gov/covid19/updates/,810,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2814,2426,NA,NA,1329,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3299,1373,55
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-06-13,https://www.cdcr.ca.gov/covid19/updates/,810,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2814,2410,NA,NA,1329,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3304,1377,55
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-06-14,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2410,NA,NA,1329,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3300,1377,57
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-07-27,https://www.cdcr.ca.gov/covid19/updates/,809,297,1,NA,807,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2814,2418,NA,NA,1332,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3600,1448,274
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-07-30,https://www.cdcr.ca.gov/covid19/updates/,809,297,1,NA,807,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2814,2400,NA,NA,1336,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3555,1452,310
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-08-03,https://www.cdcr.ca.gov/covid19/updates/,809,302,1,NA,807,296,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2372,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3566,1450,441
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-08-06,https://www.cdcr.ca.gov/covid19/updates/,809,302,1,NA,807,296,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2374,NA,NA,1337,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3584,1455,538
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-08-10,https://www.cdcr.ca.gov/covid19/updates/,812,319,1,NA,807,296,NA,NA,NA,NA,NA,NA,NA,NA,3,23,2814,2356,NA,NA,1337,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3578,1459,610
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-08-13,https://www.cdcr.ca.gov/covid19/updates/,812,319,1,NA,807,296,NA,NA,NA,NA,NA,NA,NA,NA,3,23,2814,2387,NA,NA,1336,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3609,1459,695
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-08-17,https://www.cdcr.ca.gov/covid19/updates/,812,333,1,NA,807,307,NA,NA,NA,NA,NA,NA,NA,NA,3,26,2814,2386,NA,NA,1335,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3623,1459,771
